万保	まん ぽう	3
万保	まん ぽう	8
万和	まん わ	14
万喜	まん き,まん ぎ	2
万安	まん あん	13
万宝	まん ぽう	4
万寧	まん ねい	5
万弘	まん こう	1
万徳	まん とく	5
万応	まん おう	2
万永	まん えい	1
万祥	まん しょう,まん じょう	3
万禄	まん ろく	3
万福	まん ぷく	2
万貞	まん てい	6
万長	まん ちょう	2
中興	ちゅう こう	1
久保	きゅう ほう	2
久化	きゅう か	1
久和	きゅう わ	7
久徳	きゅう とく	2
久応	きゅう おう	1
久承	きゅう じょう,きゅう しょう	11
久暦	きゅう りゃく,きゅう れき	1
久治	きゅう じ	2
久長	きゅう ちょう	4
乾亨	けん きょう	1
乾天	けん てん	1
乾徳	けん とく	1
乾徳	けん とく	7
乾永	けん えい	2
乾綱	けん こう	1
享久	きょう きゅう	3
享安	きょう あん	1
享宝	きょう ほう	2
享寿	きょう じゅ	4
享封	きょう ほう	1
享延	きょう えん	1
享応	きょう おう	2
享明	きょう めい	4
享正	きょう しょう	1
享長	きょう ちょう	1
仁保	にん ぽう	4
仁化	にん か	1
仁厚	にん こう	1
仁宝	にん ぽう	5
仁応	にん おう	15
仁成	にん せい	1
仁政	にん せい	1
仁昭	にん しょう	6
仁正	にん しょう	1
仁永	にん えい	2
仁興	にん こう	3
仁豊	にん ぽう	1
仁長	にん ちょう	5
仁養	にん よう	4
仁養	にん よう	3
令徳	れい とく	1
休和	きゅう わ	1
休祐	きゅう ゆう	2
会同	かい どう	1
俊徳	しゅん とく	1
保佑	ほう ゆう	1
保和	ほう わ	6
保嘉	ほう か	1
保寧	ほう ねい	1
保徳	ほう とく	3
保禄	ほう ろく	4
保貞	ほう てい	3
修文	しゅう ぶん	1
允徳	いん とく	1
元万	げん まん	1
元初	げん しょ	1
元功	げん こう	1
元化	げん か	3
元吉	げん きつ	4
元喜	げん き	7
元嘉	げん か	1
元安	げん あん	2
元宝	げん ぽう	2
元寧	げん ねい	4
元康	げん こう	1
元延	げん えん	4
元竜	げん りゅう	1
元聖	げん せい	1
元観	げん かん	3
元貞	げん てい	1
元長	げん ちょう	1
光文	こう ぶん	1
功永	こう えい	1
協中	きょう ちゅう	1
協和	きょう わ	1
同和	どう わ	1
同徳	どう とく	1
含弘	がん こう	1
和万	わ まん	4
和保	わ ほう	2
和元	わ げん	14
和同	わ どう	2
和宝	わ ほう	2
和寧	わ ねい	2
和平	わ へい	7
和徳	わ とく	2
和政	わ せい	1
和暦	わ りゃく	1
咸保	げん ぽう	1
咸和	げん わ	6
咸定	げん てい	1
咸寧	げん ねい	2
咸章	げん しょう	1
喜元	き げん	2
喜慶	き けい,き きょう	1
喜文	き ぶん	1
嘉享	か きょう	8
