大化	たい か
白雉	はく ち
朱鳥	しゅ ちょう,す ちょう,あかみ どり
大宝	たい ほう,だい ほう
慶雲	けい うん,きょう うん
和銅	わ どう
霊亀	れい き
養老	よう ろう
神亀	じん き
天平	てん ぴょう
天平感宝	てん ぴょう かん ぽう
天平勝宝	てん ぴょう しょう ほう
天平宝字	てん ぴょう ほう じ
天平神護	てん ぴょう じん ご
神護景雲	じん ご けい うん
宝亀	ほう き
天応	てん おう,てん のう
延暦	えん りゃく
大同	だい どう
弘仁	こう にん
天長	てん ちょう
承和	じょう わ,しょう わ
嘉祥	か しょう,か じょう
仁寿	にん じゅ
斉衡	さい こう
天安	てん あん,てん なん
貞観	じょう がん
元慶	がん ぎょう
仁和	にん な,にん わ
寛平	かん ぴょう,かん ぺい,かん へい
昌泰	しょう たい
延喜	えん ぎ
延長	えん ちょう
承平	じょう へい,しょう へい
天慶	てん ぎょう,てん きょう
天暦	てん りゃく
天徳	てん とく
応和	おう わ
康保	こう ほう
安和	あん な,あん わ
天禄	てん ろく
天延	てん えん
貞元	じょう げん
天元	てん げん
永観	えい かん
寛和	かん な,かん わ
永延	えい えん
永祚	えい そ
正暦	しょう りゃく
長徳	ちょう とく
長保	ちょう ほう
寛弘	かん こう
長和	ちょう わ
寛仁	かん にん
治安	じ あん
万寿	まん じゅ
長元	ちょう げん
長暦	ちょう りゃく
長久	ちょう きゅう
寛徳	かん とく
永承	えい しょう,えい じょう
天喜	てん き,てん ぎ
康平	こう へい
治暦	じ りゃく
延久	えん きゅう
承保	じょう ほう,しょう ほう
承暦	じょう りゃく,しょう りゃく
永保	えい ほう
応徳	おう とく
寛治	かん じ
嘉保	か ほう
永長	えい ちょう
承徳	じょう とく,しょう とく
康和	こう わ
長治	ちょう じ
嘉承	か しょう,か じょう
天仁	てん にん
天永	てん えい
永久	えい きゅう
元永	げん えい
保安	ほう あん
天治	てん じ
大治	だい じ
天承	てん しょう,てん じょう
長承	ちょう しょう
保延	ほう えん
永治	えい じ
康治	こう じ
天養	てん よう
久安	きゅう あん
仁平	にん ぺい,にん ぴょう
久寿	きゅう じゅ
保元	ほう げん
平治	へい じ
永暦	えい りゃく
応保	おう ほう,おう ほ
長寛	ちょう かん
永万	えい まん
仁安	にん あん
嘉応	かお う
承安	しょう あん
安元	あん げん
治承	じ しょう
養和	よう わ
寿永	じゅ えい
元暦	げん りゃく
文治	ぶん じ
建久	けん きゅう
正治	しょう じ
建仁	けん にん
元久	げん きゅう
建永	けん えい
承元	じょう げん
建暦	けん りゃく
建保	けん ぽう
承久	じょう きゅう
貞応	じょう おう
元仁	げん にん
嘉禄	か ろく
安貞	あん てい
寛喜	かん き
貞永	じょう えい
天福	てん ぷく
文暦	ぶん りゃく
嘉禎	か てい
暦仁	りゃく にん
延応	えん おう
仁治	にん じ
寛元	かん げん
宝治	ほう じ
建長	けん ちょう
康元	こう げん
正嘉	しょう か
正元	しょう げん
文応	ぶん おう
弘長	こう ちょう
文永	ぶん えい
建治	けん じ
弘安	こう あん
正応	しょう おう
永仁	えい にん
正安	しょう あん
乾元	けん げん
嘉元	か げん
徳治	とく じ
延慶	えん きょう
応長	おう ちょう
正和	しょう わ
文保	ぶん ぽう
元応	げん おう
元亨	げん こう
正中	しょう ちゅう
嘉暦	か りゃく
元徳	げん とく
元弘	げん こう
正慶	しょう きょう,しょう けい
建武	けん む
延元	えん げん
興国	こう こく
正平	しょう へい
建徳	けん とく
文中	ぶん ちゅう
天授	てん じゅ
弘和	こう わ
元中	げん ちゅう
暦応	りゃく おう,れき おう
康永	こう えい
貞和	じょう わ,てい わ
観応	かん のう,かん おう
文和	ぶん な,ぶん わ
延文	えん ぶん
康安	こう あん
貞治	じょう じ,てい じ
応安	おう あん
永和	えい わ
康暦	こう りゃく
永徳	えい とく
至徳	し とく
嘉慶	か きょう,か けい
康応	こう おう
明徳	めい とく
応永	おう えい
正長	しょう ちょう
永享	えい きょう
嘉吉	か きつ
文安	ぶん あん
宝徳	ほう とく
享徳	きょう とく
康正	こう しょう
長禄	ちょう ろく
寛正	かん しょう
文正	ぶん しょう
応仁	おう にん
文明	ぶん めい
長享	ちょう きょう
延徳	えん とく
明応	めい おう
文亀	ぶん き
永正	えい しょう
大永	だい えい
享禄	きょう ろく
天文	てん ぶん
弘治	こう じ
永禄	えい ろく
元亀	げん き
天正	てん しょう
文禄	ぶん ろく
慶長	けい ちょう
元和	げん な
寛永	かん えい
正保	しょう ほう
慶安	けい あん
承応	じょう おう
明暦	めい れき
万治	まん じ
寛文	かん ぶん
延宝	えん ぽう
天和	てん な
貞享	じょう きょう
元禄	げん ろく
宝永	ほう えい
正徳	しょう とく
享保	きょう ほう
元文	げん ぶん
寛保	かん ぽう
延享	えん きょう
寛延	かん えん
宝暦	ほう れき
明和	めい わ
安永	あん えい
天明	てん めい
寛政	かん せい
享和	きょう わ
文化	ぶん か
文政	ぶん せい
天保	てん ぽう
弘化	こう か
嘉永	か えい
安政	あん せい
万延	まん えん
文久	ぶん きゅう
元治	げん じ
慶応	けい おう
明治	めい じ
大正	たい しょう
昭和	しょう わ
平成	へい せい
